algorithm,size,type,avgTimeMs,avgCharComps
mergesort_lcp,100,0,0.1572,2333
mergesort_lcp,200,0,0.422,5779
mergesort_lcp,300,0,0.65514,9662
mergesort_lcp,400,0,0.84306,13922
mergesort_lcp,500,0,1.04016,18389
mergesort_lcp,600,0,1.4169,23144
mergesort_lcp,700,0,1.7195,28146
mergesort_lcp,800,0,1.99742,33144
mergesort_lcp,900,0,2.27652,38400
mergesort_lcp,1000,0,2.36876,43622
mergesort_lcp,1100,0,2.67574,48941
mergesort_lcp,1200,0,2.89712,54404
mergesort_lcp,1300,0,3.30194,60046
mergesort_lcp,1400,0,3.54518,65782
mergesort_lcp,1500,0,3.87982,71449
mergesort_lcp,1600,0,4.2635,77219
mergesort_lcp,1700,0,5.28674,83068
mergesort_lcp,1800,0,4.91454,89031
mergesort_lcp,1900,0,4.93766,94851
mergesort_lcp,2000,0,5.42954,101006
mergesort_lcp,2100,0,5.46418,107096
mergesort_lcp,2200,0,5.8469,113291
mergesort_lcp,2300,0,6.11342,119350
mergesort_lcp,2400,0,6.45846,125564
mergesort_lcp,2500,0,6.77054,131879
mergesort_lcp,2600,0,7.12146,138202
mergesort_lcp,2700,0,7.56988,144850
mergesort_lcp,2800,0,7.59974,151399
mergesort_lcp,2900,0,7.81958,157814
mergesort_lcp,3000,0,8.80084,164448
mergesort_lcp,100,1,0.175,1402
mergesort_lcp,200,1,0.32202,3453
mergesort_lcp,300,1,0.50634,5740
mergesort_lcp,400,1,0.71064,8204
mergesort_lcp,500,1,0.92194,11171
mergesort_lcp,600,1,1.13134,13526
mergesort_lcp,700,1,1.37668,16228
mergesort_lcp,800,1,1.58098,19358
mergesort_lcp,900,1,1.87242,22526
mergesort_lcp,1000,1,2.28452,26010
mergesort_lcp,1100,1,2.34032,28796
mergesort_lcp,1200,1,2.60642,31552
mergesort_lcp,1300,1,2.82512,34530
mergesort_lcp,1400,1,3.08168,37749
mergesort_lcp,1500,1,3.2905,41213
mergesort_lcp,1600,1,3.82996,44703
mergesort_lcp,1700,1,3.89768,47791
mergesort_lcp,1800,1,4.03188,51607
mergesort_lcp,1900,1,4.67274,55525
mergesort_lcp,2000,1,4.84416,59692
mergesort_lcp,2100,1,4.98038,63071
mergesort_lcp,2200,1,5.14818,65802
mergesort_lcp,2300,1,5.72612,68861
mergesort_lcp,2400,1,5.6415,71975
mergesort_lcp,2500,1,5.86166,75464
mergesort_lcp,2600,1,6.06442,79045
mergesort_lcp,2700,1,6.51912,82583
mergesort_lcp,2800,1,6.70978,85970
mergesort_lcp,2900,1,6.90532,89392
mergesort_lcp,3000,1,7.13,93562
mergesort_lcp,100,2,0.201,2304
mergesort_lcp,200,2,0.35856,5737
mergesort_lcp,300,2,0.65108,9651
mergesort_lcp,400,2,0.8427,13877
mergesort_lcp,500,2,1.01342,17967
mergesort_lcp,600,2,1.3158,22995
mergesort_lcp,700,2,1.53542,27371
mergesort_lcp,800,2,1.83608,32251
mergesort_lcp,900,2,2.04254,37078
mergesort_lcp,1000,2,2.27984,41261
mergesort_lcp,1100,2,2.49706,46486
mergesort_lcp,1200,2,2.95676,52606
mergesort_lcp,1300,2,3.07284,57130
mergesort_lcp,1400,2,4.35758,62729
mergesort_lcp,1500,2,3.95452,67512
mergesort_lcp,1600,2,3.99992,73877
mergesort_lcp,1700,2,4.12452,77699
mergesort_lcp,1800,2,4.5163,84237
mergesort_lcp,1900,2,4.72632,88566
mergesort_lcp,2000,2,4.9166,93452
mergesort_lcp,2100,2,5.22004,97974
mergesort_lcp,2200,2,5.62782,105522
mergesort_lcp,2300,2,5.88314,111731
mergesort_lcp,2400,2,6.08444,117697
mergesort_lcp,2500,2,6.32068,121737
mergesort_lcp,2600,2,6.72248,128145
mergesort_lcp,2700,2,6.93664,135812
mergesort_lcp,2800,2,7.30802,141100
mergesort_lcp,2900,2,7.52446,146096
mergesort_lcp,3000,2,7.85076,152790
quick3way,100,0,0.029,1398
quick3way,200,0,0.04822,2723
quick3way,300,0,0.10306,5042
quick3way,400,0,0.14194,7042
quick3way,500,0,0.15084,9000
quick3way,600,0,0.18576,10830
quick3way,700,0,0.21736,13100
quick3way,800,0,0.28456,14753
quick3way,900,0,0.34552,17991
quick3way,1000,0,0.30842,18463
quick3way,1100,0,0.3927,23078
quick3way,1200,0,0.41052,24621
quick3way,1300,0,0.52332,26580
quick3way,1400,0,0.55562,32651
quick3way,1500,0,0.6065,30729
quick3way,1600,0,0.6093,33732
quick3way,1700,0,0.62924,36825
quick3way,1800,0,0.75898,39297
quick3way,1900,0,0.78506,41416
quick3way,2000,0,0.78448,42663
quick3way,2100,0,0.89222,45640
quick3way,2200,0,0.84864,47187
quick3way,2300,0,0.93898,51854
quick3way,2400,0,1.0018,58011
quick3way,2500,0,1.0516,60876
quick3way,2600,0,1.01662,59086
quick3way,2700,0,1.12374,65459
quick3way,2800,0,1.1825,64388
quick3way,2900,0,1.1776,66580
quick3way,3000,0,1.2172,70425
quick3way,100,1,0.10222,5983
quick3way,200,1,0.2359,13854
quick3way,300,1,0.44596,22811
quick3way,400,1,0.5455,32189
quick3way,500,1,0.82696,40639
quick3way,600,1,0.86108,49804
quick3way,700,1,1.03306,59113
quick3way,800,1,1.19644,67838
quick3way,900,1,1.344,77388
quick3way,1000,1,1.60798,86697
quick3way,1100,1,1.70982,96595
quick3way,1200,1,1.79236,104951
quick3way,1300,1,2.10174,114414
quick3way,1400,1,2.12106,123660
quick3way,1500,1,2.29918,134177
quick3way,1600,1,2.46086,142538
quick3way,1700,1,2.64276,152593
quick3way,1800,1,3.10938,163057
quick3way,1900,1,3.0568,174000
quick3way,2000,1,3.13606,183353
quick3way,2100,1,3.41656,192814
quick3way,2200,1,3.56044,202335
quick3way,2300,1,3.78014,213842
quick3way,2400,1,3.9688,224019
quick3way,2500,1,4.07266,237912
quick3way,2600,1,4.25874,248574
quick3way,2700,1,4.51088,257585
quick3way,2800,1,4.87612,268968
quick3way,2900,1,5.0248,281179
quick3way,3000,1,5.33204,293315
quick3way,100,2,0.02432,1195
quick3way,200,2,0.06076,2971
quick3way,300,2,0.08556,5095
quick3way,400,2,0.18362,9092
quick3way,500,2,0.19362,10960
quick3way,600,2,0.2462,14863
quick3way,700,2,0.32494,19599
quick3way,800,2,0.4215,23882
quick3way,900,2,0.4666,26733
quick3way,1000,2,0.65044,38630
quick3way,1100,2,0.69542,40626
quick3way,1200,2,0.90408,52911
quick3way,1300,2,1.28144,74296
quick3way,1400,2,1.12324,60440
quick3way,1500,2,1.2425,68664
quick3way,1600,2,1.17396,68934
quick3way,1700,2,1.18762,69167
quick3way,1800,2,1.7197,99902
quick3way,1900,2,2.05938,117415
quick3way,2000,2,1.67538,96948
quick3way,2100,2,2.08296,121225
quick3way,2200,2,2.096,122775
quick3way,2300,2,2.05134,115346
quick3way,2400,2,2.61128,145774
quick3way,2500,2,2.66068,154626
quick3way,2600,2,2.0665,120637
quick3way,2700,2,2.26846,133138
quick3way,2800,2,2.05246,117282
quick3way,2900,2,2.5088,146571
quick3way,3000,2,3.3419,184747
msd_radix,100,0,0.08172,340
msd_radix,200,0,0.15556,792
msd_radix,300,0,0.1894,1220
msd_radix,400,0,0.29038,1666
msd_radix,500,0,0.29968,2080
msd_radix,600,0,0.33518,2524
msd_radix,700,0,0.39268,2970
msd_radix,800,0,0.47626,3412
msd_radix,900,0,0.45766,3830
msd_radix,1000,0,0.462,4308
msd_radix,1100,0,0.51466,4782
msd_radix,1200,0,0.5588,5234
msd_radix,1300,0,0.60794,5700
msd_radix,1400,0,0.7288,6166
msd_radix,1500,0,0.77494,6674
msd_radix,1600,0,0.84044,7172
msd_radix,1700,0,0.9968,7656
msd_radix,1800,0,0.96466,8182
msd_radix,1900,0,1.02312,8706
msd_radix,2000,0,1.18954,9228
msd_radix,2100,0,1.29812,9738
msd_radix,2200,0,1.257,10262
msd_radix,2300,0,1.32536,10750
msd_radix,2400,0,1.38114,11256
msd_radix,2500,0,1.51254,11794
msd_radix,2600,0,1.55488,12332
msd_radix,2700,0,1.60724,12866
msd_radix,2800,0,1.79986,13392
msd_radix,2900,0,1.74102,13928
msd_radix,3000,0,1.78008,14470
msd_radix,100,1,0.06334,340
msd_radix,200,1,0.1374,792
msd_radix,300,1,0.18156,1220
msd_radix,400,1,0.22978,1666
msd_radix,500,1,0.2604,2080
msd_radix,600,1,0.3192,2524
msd_radix,700,1,0.36952,2970
msd_radix,800,1,0.41738,3412
msd_radix,900,1,0.43524,3830
msd_radix,1000,1,0.46406,4308
msd_radix,1100,1,0.51376,4782
msd_radix,1200,1,0.60628,5234
msd_radix,1300,1,0.6753,5700
msd_radix,1400,1,0.6601,6166
msd_radix,1500,1,0.74156,6674
msd_radix,1600,1,0.78838,7172
msd_radix,1700,1,0.85886,7656
msd_radix,1800,1,0.9737,8182
msd_radix,1900,1,1.04268,8706
msd_radix,2000,1,1.06016,9228
msd_radix,2100,1,1.2594,9738
msd_radix,2200,1,1.26486,10262
msd_radix,2300,1,1.25256,10750
msd_radix,2400,1,1.33574,11256
msd_radix,2500,1,1.4745,11794
msd_radix,2600,1,1.5313,12332
msd_radix,2700,1,1.54928,12866
msd_radix,2800,1,1.65544,13392
msd_radix,2900,1,1.6881,13928
msd_radix,3000,1,1.8202,14470
msd_radix,100,2,0.07956,340
msd_radix,200,2,0.14336,792
msd_radix,300,2,0.20338,1220
msd_radix,400,2,0.26508,1666
msd_radix,500,2,0.25928,2080
msd_radix,600,2,0.29862,2524
msd_radix,700,2,0.3392,2970
msd_radix,800,2,0.37884,3412
msd_radix,900,2,0.43296,3830
msd_radix,1000,2,0.46998,4308
msd_radix,1100,2,0.51458,4782
msd_radix,1200,2,0.56246,5234
msd_radix,1300,2,0.60268,5700
msd_radix,1400,2,0.6533,6166
msd_radix,1500,2,0.71856,6674
msd_radix,1600,2,1.24224,7172
msd_radix,1700,2,1.26806,7656
msd_radix,1800,2,0.98618,8182
msd_radix,1900,2,1.14294,8706
msd_radix,2000,2,1.04592,9228
msd_radix,2100,2,1.25826,9738
msd_radix,2200,2,1.19718,10262
msd_radix,2300,2,1.24282,10750
msd_radix,2400,2,1.42282,11256
msd_radix,2500,2,1.41136,11794
msd_radix,2600,2,1.4677,12332
msd_radix,2700,2,1.62206,12866
msd_radix,2800,2,1.60396,13392
msd_radix,2900,2,1.68298,13928
msd_radix,3000,2,1.81574,14470
msd_radix_switch,100,0,0.02066,340
msd_radix_switch,200,0,0.04308,929
msd_radix_switch,300,0,0.06732,1645
msd_radix_switch,400,0,0.07976,2412
msd_radix_switch,500,0,0.10672,3277
msd_radix_switch,600,0,0.1349,4268
msd_radix_switch,700,0,0.14788,5270
msd_radix_switch,800,0,0.1752,6331
msd_radix_switch,900,0,0.24756,7507
msd_radix_switch,1000,0,0.26098,8612
msd_radix_switch,1100,0,0.29854,9792
msd_radix_switch,1200,0,0.28492,10923
msd_radix_switch,1300,0,0.31448,12153
msd_radix_switch,1400,0,0.37338,13488
msd_radix_switch,1500,0,0.4559,14898
msd_radix_switch,1600,0,0.48482,16094
msd_radix_switch,1700,0,0.49818,17402
msd_radix_switch,1800,0,0.53568,18731
msd_radix_switch,1900,0,0.55424,20055
msd_radix_switch,2000,0,0.55846,21265
msd_radix_switch,2100,0,0.5712,22751
msd_radix_switch,2200,0,0.65872,24256
msd_radix_switch,2300,0,0.64506,25746
msd_radix_switch,2400,0,0.72632,27140
msd_radix_switch,2500,0,0.7529,28680
msd_radix_switch,2600,0,0.74522,30144
msd_radix_switch,2700,0,0.7807,31754
msd_radix_switch,2800,0,0.93806,33217
msd_radix_switch,2900,0,0.88132,34786
msd_radix_switch,3000,0,0.89092,36462
msd_radix_switch,100,1,0.01696,362
msd_radix_switch,200,1,0.03692,1042
msd_radix_switch,300,1,0.07768,2033
msd_radix_switch,400,1,0.11372,3155
msd_radix_switch,500,1,0.14842,4636
msd_radix_switch,600,1,0.19378,6371
msd_radix_switch,700,1,0.2352,8394
msd_radix_switch,800,1,0.248,10532
msd_radix_switch,900,1,0.29858,12973
msd_radix_switch,1000,1,0.37852,15640
msd_radix_switch,1100,1,0.42082,18267
msd_radix_switch,1200,1,0.46448,21142
msd_radix_switch,1300,1,0.55508,24360
msd_radix_switch,1400,1,0.61796,27936
msd_radix_switch,1500,1,0.67528,31354
msd_radix_switch,1600,1,0.74202,35086
msd_radix_switch,1700,1,0.92818,39035
msd_radix_switch,1800,1,0.89846,42908
msd_radix_switch,1900,1,0.9654,46742
msd_radix_switch,2000,1,1.05742,51347
msd_radix_switch,2100,1,1.14978,55978
msd_radix_switch,2200,1,1.23364,60572
msd_radix_switch,2300,1,1.33204,65705
msd_radix_switch,2400,1,1.49104,70838
msd_radix_switch,2500,1,1.54438,75999
msd_radix_switch,2600,1,1.62908,81286
msd_radix_switch,2700,1,1.83022,86902
msd_radix_switch,2800,1,1.8973,92230
msd_radix_switch,2900,1,1.98252,98040
msd_radix_switch,3000,1,2.0703,103843
msd_radix_switch,100,2,0.01632,340
msd_radix_switch,200,2,0.03418,933
msd_radix_switch,300,2,0.0812,1620
msd_radix_switch,400,2,0.07902,2489
msd_radix_switch,500,2,0.1043,3440
msd_radix_switch,600,2,0.12312,4349
msd_radix_switch,700,2,0.14936,5406
msd_radix_switch,800,2,0.17604,6459
msd_radix_switch,900,2,0.2066,7766
msd_radix_switch,1000,2,0.2369,9123
msd_radix_switch,1100,2,0.26844,10432
msd_radix_switch,1200,2,0.29858,11851
msd_radix_switch,1300,2,0.33192,13182
msd_radix_switch,1400,2,0.36548,14661
msd_radix_switch,1500,2,0.39772,16093
msd_radix_switch,1600,2,0.4267,17410
msd_radix_switch,1700,2,0.46184,19060
msd_radix_switch,1800,2,0.51364,20241
msd_radix_switch,1900,2,0.6059,22304
msd_radix_switch,2000,2,0.58138,24348
msd_radix_switch,2100,2,0.62034,26027
msd_radix_switch,2200,2,0.6458,27370
msd_radix_switch,2300,2,0.70618,29407
msd_radix_switch,2400,2,0.76964,31165
msd_radix_switch,2500,2,0.77248,33189
msd_radix_switch,2600,2,0.86398,34241
msd_radix_switch,2700,2,0.84706,36661
msd_radix_switch,2800,2,0.91268,38380
msd_radix_switch,2900,2,0.93466,40695
msd_radix_switch,3000,2,0.96436,42073
